,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
794,2015-08-11,5913.711081560913,4896.65106749972,7067.019625375469,5913.711058022489,5913.711181833375,26.82727467457237,26.82727467457237,26.82727467457237,223.48828323326825,223.48828323326825,223.48828323326825,-196.66100855869587,-196.66100855869587,-196.66100855869587,0.0,0.0,0.0,5940.5383562354855
795,2015-08-12,5914.459771691496,4407.896907403906,6557.784555655228,5914.4597314282855,5914.459908103561,-423.60894190181926,-423.60894190181926,-423.60894190181926,-203.26625168094364,-203.26625168094364,-203.26625168094364,-220.3426902208756,-220.3426902208756,-220.3426902208756,0.0,0.0,0.0,5490.850829789677
796,2015-08-13,5915.208461822081,4390.085412392042,6553.292097648291,5915.208384359828,5915.208648427447,-426.3769557333725,-426.3769557333725,-426.3769557333725,-183.23203920088542,-183.23203920088542,-183.23203920088542,-243.14491653248703,-243.14491653248703,-243.14491653248703,0.0,0.0,0.0,5488.831506088708
797,2015-08-14,5915.9571519526635,4747.386375277788,6826.476946823405,5915.957024290951,5915.957388538953,-199.22083962342867,-199.22083962342867,-199.22083962342867,65.7705282206578,65.7705282206578,65.7705282206578,-264.9913678440865,-264.9913678440865,-264.9913678440865,0.0,0.0,0.0,5716.736312329234
798,2015-08-15,5916.705842083248,3879.772922340301,5935.418134819819,5916.705686254721,5916.706145912868,-1005.1767435935769,-1005.1767435935769,-1005.1767435935769,-719.337136272139,-719.337136272139,-719.337136272139,-285.839607321438,-285.839607321438,-285.839607321438,0.0,0.0,0.0,4911.529098489671
799,2015-08-16,5917.454532213832,4365.782258086756,6492.469641117091,5917.454337941309,5917.454889008267,-501.9239867582629,-501.9239867582629,-501.9239867582629,-196.24726779453536,-196.24726779453536,-196.24726779453536,-305.6767189637275,-305.6767189637275,-305.6767189637275,0.0,0.0,0.0,5415.530545455569
800,2015-08-17,5918.203222344415,5550.82573886126,7666.862479094252,5918.203001370576,5918.203643344842,688.3098866276481,688.3098866276481,688.3098866276481,1012.8238834937415,1012.8238834937415,1012.8238834937415,-324.51399686609346,-324.51399686609346,-324.51399686609346,0.0,0.0,0.0,6606.513108972063
801,2015-08-18,5918.9519124749995,4736.0870708495995,6839.872312219465,5918.951630772834,5918.95238974501,-118.89262682777206,-118.89262682777206,-118.89262682777206,223.48828323189318,223.48828323189318,223.48828323189318,-342.3809100596652,-342.3809100596652,-342.3809100596652,0.0,0.0,0.0,5800.059285647228
802,2015-08-19,5919.700602605582,4387.451629061646,6453.474621766105,5919.7002601482955,5919.701135093256,-562.5848407274586,-562.5848407274586,-562.5848407274586,-203.26625168097425,-203.26625168097425,-203.26625168097425,-359.3185890464845,-359.3185890464845,-359.3185890464845,0.0,0.0,0.0,5357.1157618781235
803,2015-08-20,5920.449292736166,4271.569576618403,6443.244900672365,5920.448874196729,5920.449879877406,-558.6051330583502,-558.6051330583502,-558.6051330583502,-183.23203920035425,-183.23203920035425,-183.23203920035425,-375.37309385799597,-375.37309385799597,-375.37309385799597,0.0,0.0,0.0,5361.844159677816
804,2015-08-21,5921.19798286675,4555.154932452933,6622.974092661205,5921.197519525185,5921.198627445707,-324.81820048815337,-324.81820048815337,-324.81820048815337,65.77052822229068,65.77052822229068,65.77052822229068,-390.58872871044406,-390.58872871044406,-390.58872871044406,0.0,0.0,0.0,5596.379782378596
805,2015-08-22,5921.946672997334,3709.984011072626,5867.663581966126,5921.946141525953,5921.947375219857,-1124.3388012281923,-1124.3388012281923,-1124.3388012281923,-719.337136272801,-719.337136272801,-719.337136272801,-405.00166495539133,-405.00166495539133,-405.00166495539133,0.0,0.0,0.0,4797.607871769142
806,2015-08-23,5922.695363127917,4274.567312753869,6405.657012594174,5922.694754456341,5922.696126446297,-614.8813899465061,-614.8813899465061,-614.8813899465061,-196.24726779392296,-196.24726779392296,-196.24726779392296,-418.63412215258325,-418.63412215258325,-418.63412215258325,0.0,0.0,0.0,5307.813973181411
807,2015-08-24,5923.444053258501,5400.621998627349,7502.549139472976,5923.443341202635,5923.444905995748,581.3345463912974,581.3345463912974,581.3345463912974,1012.8238834932763,1012.8238834932763,1012.8238834932763,-431.48933710197895,-431.48933710197895,-431.48933710197895,0.0,0.0,0.0,6504.778599649799
808,2015-08-25,5924.192743389084,4695.41105465195,6794.222130440964,5924.191966847929,5924.193650603395,-220.05923994784519,-220.05923994784519,-220.05923994784519,223.4882832314645,223.4882832314645,223.4882832314645,-443.5475231793097,-443.5475231793097,-443.5475231793097,0.0,0.0,0.0,5704.133503441239
809,2015-08-26,5924.941433519669,4148.736807751382,6342.494354540287,5924.940565650932,5924.942442110882,-658.0292398719109,-658.0292398719109,-658.0292398719109,-203.266251681117,-203.266251681117,-203.266251681117,-454.7629881907939,-454.7629881907939,-454.7629881907939,0.0,0.0,0.0,5266.912193647758
810,2015-08-27,5925.690123650252,4249.523186101696,6352.670313208075,5925.689158414241,5925.691207410562,-648.2945784422378,-648.2945784422378,-648.2945784422378,-183.2320392008624,-183.2320392008624,-183.2320392008624,-465.06253924137536,-465.06253924137536,-465.06253924137536,0.0,0.0,0.0,5277.395545208014
811,2015-08-28,5926.4388137808355,4375.663702658452,6590.477492779197,5926.43774944402,5926.439990295322,-408.5747308178535,-408.5747308178535,-408.5747308178535,65.77052822159465,65.77052822159465,65.77052822159465,-474.34525903944814,-474.34525903944814,-474.34525903944814,0.0,0.0,0.0,5517.864082962982
812,2015-08-29,5927.187503911419,3701.322685488445,5747.047929760711,5927.186358958127,5927.188744152692,-1201.8208272643722,-1201.8208272643722,-1201.8208272643722,-719.3371362713879,-719.3371362713879,-719.3371362713879,-482.4836909929843,-482.4836909929843,-482.4836909929843,0.0,0.0,0.0,4725.366676647047
813,2015-08-30,5927.936194042003,4179.731812031534,6302.597113567963,5927.934982188737,5927.937544546998,-685.5736896548573,-685.5736896548573,-685.5736896548573,-196.24726779452476,-196.24726779452476,-196.24726779452476,-489.3264218603325,-489.3264218603325,-489.3264218603325,0.0,0.0,0.0,5242.362504387146
814,2015-08-31,5928.684884172586,5347.095681599305,7431.93626366782,5928.683581102384,5928.686326360766,518.121881392091,518.121881392091,518.121881392091,1012.8238834947406,1012.8238834947406,1012.8238834947406,-494.7020021026496,-494.7020021026496,-494.7020021026496,0.0,0.0,0.0,6446.806765564677
815,2015-09-01,5929.433574303171,4624.876452687923,6613.987532907004,5929.432170627691,5929.435099794865,-274.9358137436124,-274.9358137436124,-274.9358137436124,223.48828323322257,223.48828323322257,223.48828323322257,-498.42409697683496,-498.42409697683496,-498.42409697683496,0.0,0.0,0.0,5654.497760559559
816,2015-09-02,5930.1822644337535,4174.474355828847,6205.110903016076,5930.180762304885,5930.183932642305,-703.5639689512676,-703.5639689512676,-703.5639689512676,-203.2662516809369,-203.2662516809369,-203.2662516809369,-500.29771727033074,-500.29771727033074,-500.29771727033074,0.0,0.0,0.0,5226.618295482486
817,2015-09-03,5930.930954564337,4184.242602107976,6473.331080432489,5930.929355248159,5930.9327203679595,-683.3583780276057,-683.3583780276057,-683.3583780276057,-183.23203920033126,-183.23203920033126,-183.23203920033126,-500.12633882727437,-500.12633882727437,-500.12633882727437,0.0,0.0,0.0,5247.5725765367315
818,2015-09-04,5931.679644694921,4469.4996907192035,6546.2453560676295,5931.677948948021,5931.681520148817,-431.9491576789562,-431.9491576789562,-431.9491576789562,65.77052822089857,65.77052822089857,65.77052822089857,-497.71968589985477,-497.71968589985477,-497.71968589985477,0.0,0.0,0.0,5499.730487015965
819,2015-09-05,5932.428334825505,3667.738138322831,5831.506842878069,5932.426543282461,5932.430324986296,-1212.239062273474,-1212.239062273474,-1212.239062273474,-719.3371362726059,-719.3371362726059,-719.3371362726059,-492.90192600086823,-492.90192600086823,-492.90192600086823,0.0,0.0,0.0,4720.189272552031
820,2015-09-06,5933.177024956088,4185.3303497060215,6330.926030447136,5933.175135561111,5933.179151520273,-681.7672720259797,-681.7672720259797,-681.7672720259797,-196.247267796392,-196.247267796392,-196.247267796392,-485.52000422958764,-485.52000422958764,-485.52000422958764,0.0,0.0,0.0,5251.409752930108
821,2015-09-07,5933.925715086672,5490.015659348296,7540.247296026149,5933.923737850723,5933.927913122436,537.3720498115717,537.3720498115717,537.3720498115717,1012.8238834935046,1012.8238834935046,1012.8238834935046,-475.45183368193284,-475.45183368193284,-475.45183368193284,0.0,0.0,0.0,6471.297764898244
822,2015-09-08,5934.674405217256,4684.146678463139,6738.72730465113,5934.672324732586,5934.676679895586,-239.12577273759166,-239.12577273759166,-239.12577273759166,223.4882832323209,223.4882832323209,223.4882832323209,-462.61405596991256,-462.61405596991256,-462.61405596991256,0.0,0.0,0.0,5695.548632479665
823,2015-09-09,5935.42309534784,4217.320800607274,6355.6903781567025,5935.420924219717,5935.425479429294,-650.2353439117571,-650.2353439117571,-650.2353439117571,-203.26625168075674,-203.26625168075674,-203.26625168075674,-446.9690922310003,-446.9690922310003,-446.9690922310003,0.0,0.0,0.0,5285.187751436083
824,2015-09-10,5936.171785478423,4394.107653364621,6370.531099571117,5936.169512813951,5936.17426047756,-611.7632594227754,-611.7632594227754,-611.7632594227754,-183.23203920047547,-183.23203920047547,-183.23203920047547,-428.5312202222998,-428.5312202222998,-428.5312202222998,0.0,0.0,0.0,5324.408526055648
825,2015-09-11,5936.920475609007,4466.841422985482,6638.641030015808,5936.918056064589,5936.9230723205665,-341.6009085697898,-341.6009085697898,-341.6009085697898,65.77052822020258,65.77052822020258,65.77052822020258,-407.3714367899924,-407.3714367899924,-407.3714367899924,0.0,0.0,0.0,5595.319567039217
826,2015-09-12,5937.669165739591,3720.124189490949,5933.616398117158,5937.666632383934,5937.671948588838,-1102.9580328459342,-1102.9580328459342,-1102.9580328459342,-719.3371362732677,-719.3371362732677,-719.3371362732677,-383.6208965726666,-383.6208965726666,-383.6208965726666,0.0,0.0,0.0,4834.711132893657
827,2015-09-13,5938.417855870174,4331.487161495021,6399.725465097202,5938.415164857199,5938.420791443486,-553.7200241650597,-553.7200241650597,-553.7200241650597,-196.24726779577958,-196.24726779577958,-196.24726779577958,-357.47275636928015,-357.47275636928015,-357.47275636928015,0.0,0.0,0.0,5384.697831705114
828,2015-09-14,5939.166546000757,5615.7015628189165,7658.804824598714,5939.163744449379,5939.169628951144,683.6415843891415,683.6415843891415,683.6415843891415,1012.8238834940042,1012.8238834940042,1012.8238834940042,-329.1822991048627,-329.1822991048627,-329.1822991048627,0.0,0.0,0.0,6622.808130389899
829,2015-09-15,5939.915236131342,4796.575100853943,6928.396610327794,5939.912409867244,5939.918444139623,-75.57697726368744,-75.57697726368744,-75.57697726368744,223.48828323141896,223.48828323141896,223.48828323141896,-299.06526049510643,-299.06526049510643,-299.06526049510643,0.0,0.0,0.0,5864.338258867654
830,2015-09-16,5940.663926261926,4391.706953647511,6587.30389696239,5940.661039120211,5940.667229671261,-470.7605856058671,-470.7605856058671,-470.7605856058671,-203.2662516807874,-203.2662516807874,-203.2662516807874,-267.4943339250796,-267.4943339250796,-267.4943339250796,0.0,0.0,0.0,5469.903340656058
831,2015-09-17,5941.412616392508,4466.021937764093,6521.3109945865735,5941.409552152887,5941.415997168954,-418.1259224055567,-418.1259224055567,-418.1259224055567,-183.23203920030824,-183.23203920030824,-183.23203920030824,-234.8938832052485,-234.8938832052485,-234.8938832052485,0.0,0.0,0.0,5523.286693986952
832,2015-09-18,5942.161306523093,4751.470064365608,6851.98868942151,5942.158122662295,5942.164786039636,-135.96241892054738,-135.96241892054738,-135.96241892054738,65.77052822183552,65.77052822183552,65.77052822183552,-201.7329471423829,-201.7329471423829,-201.7329471423829,0.0,0.0,0.0,5806.198887602546
833,2015-09-19,5942.909996653676,3985.1992424040873,6092.4495110505395,5942.906734980732,5942.913574423995,-887.8538089509963,-887.8538089509963,-887.8538089509963,-719.3371362718549,-719.3371362718549,-719.3371362718549,-168.51667267914138,-168.51667267914138,-168.51667267914138,0.0,0.0,0.0,5055.056187702679
834,2015-09-20,5943.658686784261,4539.542644945121,6691.087896237458,5943.655370369359,5943.662328314403,-332.0236309026662,-332.0236309026662,-332.0236309026662,-196.2472677951672,-196.2472677951672,-196.2472677951672,-135.77636310749895,-135.77636310749895,-135.77636310749895,0.0,0.0,0.0,5611.635055881595
835,2015-09-21,5944.407376914844,5766.422562016236,7869.964220273911,5944.403987982489,5944.411138120028,908.7655104316425,908.7655104316425,908.7655104316425,1012.8238834945038,1012.8238834945038,1012.8238834945038,-104.05837306286128,-104.05837306286128,-104.05837306286128,0.0,0.0,0.0,6853.172887346486
836,2015-09-22,5945.156067045427,5042.714241328109,7155.5465212018735,5945.1525740308225,5945.159949297448,149.57616196890575,149.57616196890575,149.57616196890575,223.48828323051728,223.48828323051728,223.48828323051728,-73.9121212616115,-73.9121212616115,-73.9121212616115,0.0,0.0,0.0,6094.732229014333
837,2015-09-23,5945.904757176011,4645.669314222119,6773.086861305235,5945.901121453555,5945.908744128803,-249.14377570300493,-249.14377570300493,-249.14377570300493,-203.266251680495,-203.266251680495,-203.266251680495,-45.87752402250995,-45.87752402250995,-45.87752402250995,0.0,0.0,0.0,5696.760981473006
838,2015-09-24,5946.653447306595,4604.853589559244,6761.165204894974,5946.649673757918,5946.657546009898,-203.70421569847275,-203.70421569847275,-203.70421569847275,-183.23203920045242,-183.23203920045242,-183.23203920045242,-20.472176498020346,-20.472176498020346,-20.472176498020346,0.0,0.0,0.0,5742.949231608122
839,2015-09-25,5947.402137437178,4951.378999814578,7033.784915685347,5947.398236862985,5947.406325910814,67.5919048081441,67.5919048081441,67.5919048081441,65.77052822113941,65.77052822113941,65.77052822113941,1.8213765870046763,1.8213765870046763,1.8213765870046763,0.0,0.0,0.0,6014.994042245322
840,2015-09-26,5948.1508275677625,4175.527312293291,6341.882362523211,5948.146806041486,5948.155165231195,-698.7692027129807,-698.7692027129807,-698.7692027129807,-719.3371362725168,-719.3371362725168,-719.3371362725168,20.56793355953605,20.56793355953605,20.56793355953605,0.0,0.0,0.0,5249.381624854782
841,2015-09-27,5948.899517698345,4769.821084826639,6817.393870542331,5948.8953918334055,5948.903979948477,-160.8561186322093,-160.8561186322093,-160.8561186322093,-196.2472677932893,-196.2472677932893,-196.2472677932893,35.39114916107998,35.39114916107998,35.39114916107998,0.0,0.0,0.0,5788.043399066136
842,2015-09-28,5949.64820782893,5962.547665216001,8089.784339031553,5949.643993563539,5949.65276881869,1058.8078238415194,1058.8078238415194,1058.8078238415194,1012.8238834942324,1012.8238834942324,1012.8238834942324,45.98394034728697,45.98394034728697,45.98394034728697,0.0,0.0,0.0,7008.456031670449
843,2015-09-29,5950.396897959513,5244.812276261177,7315.609452220956,5950.392595588385,5950.401584629605,275.605763310721,275.605763310721,275.605763310721,223.48828323227525,223.48828323227525,223.48828323227525,52.117480078445745,52.117480078445745,52.117480078445745,0.0,0.0,0.0,6226.002661270234
